lane,season,team,player_id,pro_id,evidence_matches,evidence_files
VALIDATION_MINUTES,2001-02,ATL,2750,,969,20
VALIDATION_MINUTES,2001-02,CLE,2753,,482,22
VALIDATION_MINUTES,2001-02,GSW,1897,,15,2
VALIDATION_MINUTES,2002-03,TOR,2408,,10,3
VALIDATION_MINUTES,2003-04,BOS,1718,,55,3
VALIDATION_MINUTES,2004-05,BOS,2679,,23,4
VALIDATION_MINUTES,2004-05,BOS,2484,,59,5
VALIDATION_MINUTES,2004-05,CHA,2237,,2,1
VALIDATION_MINUTES,2004-05,SAS,2199,,6,1
VALIDATION_MINUTES,2005-06,DEN,2406,,24,11
VALIDATION_MINUTES,2005-06,DEN,1883,,8,3
VALIDATION_MINUTES,2005-06,DET,1503,,8,3
VALIDATION_MINUTES,2005-06,NJN,2501,,19,5
VALIDATION_MINUTES,2005-06,PHI,2774,,126,10
VALIDATION_MINUTES,2006-07,HOU,200748,,21,6
VALIDATION_MINUTES,2006-07,MIA,2456,,14,3
VALIDATION_MINUTES,2006-07,PHI,2222,,15,3
VALIDATION_MINUTES,2006-07,PHI,2768,,19,4
VALIDATION_MINUTES,2006-07,SAS,951,,34,7
TENURE_IDENTITY,2001-02,ATL,120,431010406,4783,45
TENURE_IDENTITY,2001-02,ATL,115,431010081,346,22
TENURE_IDENTITY,2001-02,ATL,1926,431010285,2,2
TENURE_IDENTITY,2001-02,CHI,1763,431010425,12,5
TENURE_IDENTITY,2001-02,CHI,1749,431010686,9,3
TENURE_IDENTITY,2001-02,CHI,2009,431010528,2058,32
TENURE_IDENTITY,2001-02,CLE,1711,,12,5
TENURE_IDENTITY,2001-02,CLE,1731,,24,6
TENURE_IDENTITY,2001-02,CLE,1831,,0,0
TENURE_IDENTITY,2001-02,CLE,1734,,0,0
TENURE_IDENTITY,2001-02,GSW,672,,29,6
TENURE_IDENTITY,2001-02,GSW,1717,,13,3
TENURE_IDENTITY,2001-02,GSW,1945,,25,3
TENURE_IDENTITY,2001-02,LAC,1716,,22,3
TENURE_IDENTITY,2001-02,LAC,1514,,12,8
TENURE_IDENTITY,2001-02,LAC,1907,,3,2
TENURE_IDENTITY,2001-02,MEM,2211,,14,2
TENURE_IDENTITY,2001-02,MIL,1548,,93,5
TENURE_IDENTITY,2001-02,PHX,714,,66,15
TENURE_IDENTITY,2004-05,GSW,2716,761c8675,1,1
TENURE_IDENTITY,2006-07,SAC,200797,431010386,18,4
