lane,season,team,player_id,pro_id,path,line,token,evidence
TENURE_IDENTITY,2001-02,ATL,120,431010406,team_trb_all_players/build_roster_targets_v2.py,29,120,"""120"": {""stevensmith"", ""stevesmith""},"
VALIDATION_MINUTES,2001-02,ATL,2750,,team_trb_all_players/normalize_roster_transactions.py,57,2750,"""Minnesota Timberwolves"": (1610612750,),"
VALIDATION_MINUTES,2001-02,CLE,2753,,team_trb_all_players/normalize_roster_transactions.py,61,2753,"""Orlando Magic"": (1610612753,),"
TENURE_IDENTITY,2001-02,CHI,2009,431010528,team_trb_all_players/build_roster_tenure_windows.py,31,2009,"""2008-09"": (""2008-10-28"", ""2009-04-15""),"
TENURE_IDENTITY,2001-02,CHI,2009,431010528,team_trb_all_players/build_roster_tenure_windows.py,32,2009,"""2009-10"": (""2009-10-27"", ""2010-04-14""),"
VALIDATION_MINUTES,2001-02,ATL,2750,,team_trb_all_players/build_roster_tenure_windows.py,55,2750,"1610612749: ""MIL"", 1610612750: ""MIN"", 1610612751: ""BKN"", 1610612752: ""NYK"","
VALIDATION_MINUTES,2001-02,CLE,2753,,team_trb_all_players/build_roster_tenure_windows.py,56,2753,"1610612753: ""ORL"", 1610612754: ""IND"", 1610612755: ""PHI"", 1610612756: ""PHX"","
TENURE_IDENTITY,2001-02,ATL,120,431010406,team_trb_all_players/fetch_bref_historical_transactions.py,48,120,"2001: ""20221209183617"","
TENURE_IDENTITY,2001-02,ATL,120,431010406,team_trb_all_players/fetch_bref_historical_transactions.py,50,120,"2003: ""20221209192231"","
TENURE_IDENTITY,2001-02,ATL,120,431010406,team_trb_all_players/build_historical_transactions_archive_resumable.py,110,120,"wait_seconds = min(120.0, 8.0 * (2 ** (attempt - 1)))"
TENURE_IDENTITY,2001-02,ATL,120,431010406,team_trb_all_players/build_historical_transactions_archive_resumable.py,144,120,"wait_seconds = min(120.0, 8.0 * (2 ** (attempt - 1)))"
TENURE_IDENTITY,2001-02,ATL,120,431010406,team_trb_all_players/import_archived_bref_transactions.py,24,120,"2001: ""https://web.archive.org/web/20221209183617id_/https://www.basketball-reference.com/leagues/NBA_2002_transactions.html"","
