season,batch_index,artifact,game_id,error
2006-07,0,treb-fanout-2006-0,20600017,"ValueError: starter solution requires missing in-period lineup transition game=20600017 period=3 team=1610612743: starters=[948, 1889, 2030, 2546, 2747] violations=[{'kind': 'participant', 'event_num': 313, 'player_id': 2546, 'event_type': 6}]"
2006-07,0,treb-fanout-2006-0,20600034,"ValueError: starter solution requires missing in-period lineup transition game=20600034 period=4 team=1610612765: starters=[739, 1888, 2436, 2568, 101131] violations=[{'kind': 'participant', 'event_num': 346, 'player_id': 739, 'event_type': 6}]"
2006-07,0,treb-fanout-2006-0,20600058,"ValueError: starter solution requires missing in-period lineup transition game=20600058 period=2 team=1610612755: starters=[947, 2212, 2584, 2594, 2738] violations=[{'kind': 'participant', 'event_num': 205, 'player_id': 185, 'event_type': 6}]"
2006-07,0,treb-fanout-2006-0,20600078,"ValueError: starter solution requires missing in-period lineup transition game=20600078 period=3 team=1610612748: starters=[56, 406, 952, 2548, 2617] violations=[{'kind': 'participant', 'event_num': 247, 'player_id': 1899, 'event_type': 6}]"
2006-07,0,treb-fanout-2006-0,20600092,"ValueError: starter solution requires missing in-period lineup transition game=20600092 period=4 team=1610612766: starters=[2408, 2679, 2731, 101109, 200747] violations=[{'kind': 'participant', 'event_num': 456, 'player_id': 101118, 'event_type': 6}]"
2006-07,1,treb-fanout-2006-1,20600134,"ValueError: starter solution requires missing in-period lineup transition game=20600134 period=2 team=1610612765: starters=[283, 686, 739, 2419, 2436] violations=[{'kind': 'participant', 'event_num': 159, 'player_id': 739, 'event_type': 6}]"
2006-07,1,treb-fanout-2006-1,20600136,"ValueError: starter solution requires missing in-period lineup transition game=20600136 period=4 team=1610612749: starters=[2294, 2581, 2590, 101106, 101141] violations=[{'kind': 'participant', 'event_num': 430, 'player_id': 101106, 'event_type': 6}]"
2006-07,1,treb-fanout-2006-1,20600156,"ValueError: starter solution requires missing in-period lineup transition game=20600156 period=4 team=1610612741: starters=[1112, 2732, 2736, 2768, 2804] violations=[{'kind': 'participant', 'event_num': 377, 'player_id': 2550, 'event_type': 6}]"
2006-07,1,treb-fanout-2006-1,20600173,"ValueError: starter solution requires missing in-period lineup transition game=20600173 period=3 team=1610612761: starters=[1515, 2410, 2547, 2551, 200816] violations=[{'kind': 'participant', 'event_num': 313, 'player_id': 239, 'event_type': 6}]"
2006-07,1,treb-fanout-2006-1,20600174,"ValueError: starter solution requires missing in-period lineup transition game=20600174 period=2 team=1610612748: starters=[56, 952, 2548, 2574, 2853] violations=[{'kind': 'participant', 'event_num': 232, 'player_id': 2617, 'event_type': 6}]"
2006-07,1,treb-fanout-2006-1,20600191,"ValueError: starter solution requires missing in-period lineup transition game=20600191 period=3 team=1610612740: starters=[1517, 1531, 2046, 2199, 101108] violations=[{'kind': 'participant', 'event_num': 344, 'player_id': 1517, 'event_type': 6}, {'kind': 'participant', 'event_num': 346, 'player_id': 1517, 'event_type': 6}]"
2006-07,2,treb-fanout-2006-2,20600260,"ValueError: starter solution requires missing in-period lineup transition game=20600260 period=2 team=1610612746: starters=[208, 1501, 1894, 2549, 2624] violations=[{'kind': 'participant', 'event_num': 130, 'player_id': 2549, 'event_type': 6}]"
2006-07,2,treb-fanout-2006-2,20600266,"ValueError: starter solution requires missing in-period lineup transition game=20600266 period=2 team=1610612757: starters=[2137, 2413, 2424, 2566, 200746] violations=[{'kind': 'participant', 'event_num': 192, 'player_id': 2216, 'event_type': 6}]"
